generator,name,x,y
single,1x1,1,1
single,1x2,1,2
single,1x3,1,3
single,1x4,1,4
single,1x5,1,5
single,1x6,1,6
single,1x7,1,7
single,1x8,1,8
single,1x9,1,9
single,1x10,1,10
single,1x11,1,11
single,1x12,1,12
single,1x13,1,13
single,1x14,1,14
single,1x15,1,15
single,1x16,1,16
single,1x17,1,17
single,1x18,1,18
single,1x19,1,19
single,1x20,1,20
single,1x21,1,21
single,1x22,1,22
single,1x23,1,23
single,1x24,1,24
single,1x25,1,25
single,1x26,1,26
single,1x27,1,27
single,1x28,1,28
single,1x29,1,29
single,1x30,1,30
single,1x31,1,31
single,1x32,1,32
single,1x33,1,33
single,1x34,1,34
single,1x35,1,35
single,1x36,1,36
single,1x37,1,37
single,1x38,1,38
single,1x39,1,39
single,1x40,1,40
double,2x1,2,1
double,2x2,2,2
double,2x3,2,3
double,2x4,2,4
double,2x5,2,5
double,2x6,2,6
double,2x7,2,7
double,2x8,2,8
double,2x9,2,9
double,2x10,2,10
double,2x11,2,11
double,2x12,2,12
double,2x13,2,13
double,2x14,2,14
double,2x15,2,15
double,2x16,2,16
double,2x17,2,17
double,2x18,2,18
double,2x19,2,19
double,2x20,2,20
double,2x21,2,21
double,2x22,2,22
double,2x23,2,23
double,2x24,2,24
double,2x25,2,25
double,2x26,2,26
double,2x27,2,27
double,2x28,2,28
double,2x29,2,29
double,2x30,2,30
double,2x31,2,31
double,2x32,2,32
double,2x33,2,33
double,2x34,2,34
double,2x35,2,35
double,2x36,2,36
double,2x37,2,37
double,2x38,2,38
double,2x39,2,39
double,2x40,2,40
