symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_150p_250V_chip_0805,C,chip_capacitor_0805,Capacitor 150p 5% 250V,"capacitor,smd",1,2,150p,5%,250V,"GRM21A5C2E151,GRM21A7U2E151"
capacitor,capacitor_220p_200V_chip_0603,C,chip_capacitor_0603,Capacitor 220p 5% 200V,"capacitor,smd",1,2,220p,5%,200V,"6032A221"
capacitor,capacitor_10n_10V_chip_1210,C,chip_capacitor_1210,Capacitor 10n 5% 10V,"capacitor,smd",1,2,10n,5%,10V,"1210ZA103"
capacitor,capacitor_0p7_100V_chip_0402,C,chip_capacitor_0402,Capacitor 0p7 5% 100V,"capacitor,smd",1,2,0p7,5%,100V,"GRM1555C2A0R7,GRM1554C2A0R7,GRM1555C2A0R7,GRM1554C2A0R7,GRM1555C2A0R7,GRM1554C2A0R7"
capacitor,capacitor_0p8_16V_chip_01005,C,chip_capacitor_01005,Capacitor 0p8 5% 16V,"capacitor,smd",1,2,0p8,5%,16V,"GRM0225C1C0R8,GRM0224C1C0R8,GRM0222C1C0R8,GRM0225C1C0R8,GRM0224C1C0R8,GRM0222C1C0R8"
capacitor,capacitor_9p6_50V_chip_0402,C,chip_capacitor_0402,Capacitor 9p6 5% 50V,"capacitor,smd",1,2,9p6,5%,50V,"GRM1555C1H9R6,GRM1552C1H9R6"
capacitor,capacitor_68n_25V_chip_0805,C,chip_capacitor_0805,Capacitor 68n 5% 25V,"capacitor,smd",1,2,68n,5%,25V,"8053A683"
capacitor,capacitor_680n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 680n 5% 50V,"capacitor,smd",1,2,680n,5%,50V,"12105A684"
capacitor,capacitor_10n_500V_chip_1206,C,chip_capacitor_1206,Capacitor 10n 5% 500V,"capacitor,smd",1,2,10n,5%,500V,"12067A103"
capacitor,capacitor_14p_16V_chip_01005,C,chip_capacitor_01005,Capacitor 14p 5% 16V,"capacitor,smd",1,2,14p,5%,16V,"GRM0225C1C140,GRM0222C1C140"
capacitor,capacitor_9p3_100V_chip_0402,C,chip_capacitor_0402,Capacitor 9p3 5% 100V,"capacitor,smd",1,2,9p3,5%,100V,"GRM1555C2A9R3,GRM1552C2A9R3"
capacitor,capacitor_6p4_100V_chip_0201,C,chip_capacitor_0201,Capacitor 6p4 5% 100V,"capacitor,smd",1,2,6p4,5%,100V,"GRM0335C2A6R4,GRM0332C2A6R4"
capacitor,capacitor_27p_250V_chip_0805,C,chip_capacitor_0805,Capacitor 27p 5% 250V,"capacitor,smd",1,2,27p,5%,250V,"GRM21A5C2E270"
capacitor,capacitor_1n5_500V_chip_1206,C,chip_capacitor_1206,Capacitor 1n5 5% 500V,"capacitor,smd",1,2,1n5,5%,500V,"GRM31A7U2H152,12067A152"
capacitor,capacitor_6p2_50V_chip_0603,C,chip_capacitor_0603,Capacitor 6p2 5% 50V,"capacitor,smd",1,2,6p2,5%,50V,"GRM1895C1H6R2,GRM1892C1H6R2"
capacitor,capacitor_6p3_50V_chip_0603,C,chip_capacitor_0603,Capacitor 6p3 5% 50V,"capacitor,smd",1,2,6p3,5%,50V,"GRM1895C1H6R3,GRM1892C1H6R3"
capacitor,capacitor_7p2_50V_chip_0402,C,chip_capacitor_0402,Capacitor 7p2 5% 50V,"capacitor,smd",1,2,7p2,5%,50V,"GRM1555C1H7R2,GRM1552C1H7R2"
capacitor,capacitor_7p7_50V_chip_0402,C,chip_capacitor_0402,Capacitor 7p7 5% 50V,"capacitor,smd",1,2,7p7,5%,50V,"GRM1555C1H7R7,GRM1552C1H7R7"
capacitor,capacitor_2n7_630V_chip_1206,C,chip_capacitor_1206,Capacitor 2n7 5% 630V,"capacitor,smd",1,2,2n7,5%,630V,"GRM31B7U2J272"
capacitor,capacitor_19p_16V_chip_01005,C,chip_capacitor_01005,Capacitor 19p 5% 16V,"capacitor,smd",1,2,19p,5%,16V,"GRM0222C1C190"
capacitor,capacitor_120p_500V_chip_1206,C,chip_capacitor_1206,Capacitor 120p 5% 500V,"capacitor,smd",1,2,120p,5%,500V,"GRM31A5C2H121,GRM31A7U2H121"
capacitor,capacitor_10n_200V_chip_1825,C,chip_capacitor_1825,Capacitor 10n 5% 200V,"capacitor,smd",1,2,10n,5%,200V,"18252A103"
capacitor,capacitor_330p_50V_chip_0603,C,chip_capacitor_0603,Capacitor 330p 5% 50V,"capacitor,smd",1,2,330p,5%,50V,"GRM1895C1H331,GRM1892C1H331,6035A331"
capacitor,capacitor_10u_10V_chip_1210,C,chip_capacitor_1210,Capacitor 10u 5% 10V,"capacitor,smd",1,2,10u,5%,10V,"1210ZA106"
capacitor,capacitor_2u2_16V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2 5% 16V,"capacitor,smd",1,2,2u2,5%,16V,"1210YA225"
capacitor,capacitor_1n2_50V_chip_0603,C,chip_capacitor_0603,Capacitor 1n2 5% 50V,"capacitor,smd",1,2,1n2,5%,50V,"GRM1895C1H122,GRM1892C1H122,GRM1891X1H122,GRM1897U1H122,GRM1893U1H122"
capacitor,capacitor_820p_100V_chip_0805,C,chip_capacitor_0805,Capacitor 820p 5% 100V,"capacitor,smd",1,2,820p,5%,100V,"GRM2175C2A821,GRM2172C2A821"
capacitor,capacitor_15n_50V_chip_2220,C,chip_capacitor_2220,Capacitor 15n 5% 50V,"capacitor,smd",1,2,15n,5%,50V,"22205A153"
capacitor,capacitor_15n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 15n 5% 50V,"capacitor,smd",1,2,15n,5%,50V,"22255A153"
capacitor,capacitor_100n_50V_chip_0603,C,chip_capacitor_0603,Capacitor 100n 5% 50V,"capacitor,smd",1,2,100n,5%,50V,"6035A104"
capacitor,capacitor_20p_16V_chip_01005,C,chip_capacitor_01005,Capacitor 20p 5% 16V,"capacitor,smd",1,2,20p,5%,16V,"GRM0225C1C200,GRM0222C1C200"
capacitor,capacitor_22n_500V_chip_1210,C,chip_capacitor_1210,Capacitor 22n 5% 500V,"capacitor,smd",1,2,22n,5%,500V,"12107A223"
capacitor,capacitor_0p9_16V_chip_01005,C,chip_capacitor_01005,Capacitor 0p9 5% 16V,"capacitor,smd",1,2,0p9,5%,16V,"GRM0225C1C0R9,GRM0224C1C0R9,GRM0222C1C0R9,GRM0225C1C0R9,GRM0224C1C0R9,GRM0222C1C0R9"
capacitor,capacitor_68p_500V_chip_1206,C,chip_capacitor_1206,Capacitor 68p 5% 500V,"capacitor,smd",1,2,68p,5%,500V,"GRM31A5C2H680,GRM31A7U2H680"
capacitor,capacitor_22n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 22n 5% 50V,"capacitor,smd",1,2,22n,5%,50V,"18255A223"
capacitor,capacitor_10n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 10n 5% 16V,"capacitor,smd",1,2,10n,5%,16V,"805YA103"
capacitor,capacitor_15n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 15n 5% 10V,"capacitor,smd",1,2,15n,5%,10V,"805ZA153"
capacitor,capacitor_9p6_100V_chip_0603,C,chip_capacitor_0603,Capacitor 9p6 5% 100V,"capacitor,smd",1,2,9p6,5%,100V,"GRM1895C2A9R6,GRM1892C2A9R6"
capacitor,capacitor_12p_250V_chip_0805,C,chip_capacitor_0805,Capacitor 12p 5% 250V,"capacitor,smd",1,2,12p,5%,250V,"GRM21A5C2E120"
capacitor,capacitor_22u_50V_chip_1210,C,chip_capacitor_1210,Capacitor 22u 5% 50V,"capacitor,smd",1,2,22u,5%,50V,"12105A226"
capacitor,capacitor_10p_2000V_chip_1206,C,chip_capacitor_1206,Capacitor 10p 5% 2000V,"capacitor,smd",1,2,10p,5%,2000V,"GRM31A7U3D100"
capacitor,capacitor_10p_1000V_chip_1206,C,chip_capacitor_1206,Capacitor 10p 5% 1000V,"capacitor,smd",1,2,10p,5%,1000V,"GRM31A5C3A100,GRM31A7U3A100"
capacitor,capacitor_2p_50V_chip_0402,C,chip_capacitor_0402,Capacitor 2p 5% 50V,"capacitor,smd",1,2,2p,5%,50V,"GRM1555C1H2R0,GRM1553C1H2R0"
capacitor,capacitor_3p5_100V_chip_0402,C,chip_capacitor_0402,Capacitor 3p5 5% 100V,"capacitor,smd",1,2,3p5,5%,100V,"GRM1555C2A3R5,GRM1552C2A3R5"
capacitor,capacitor_6p8_16V_chip_01005,C,chip_capacitor_01005,Capacitor 6p8 5% 16V,"capacitor,smd",1,2,6p8,5%,16V,"GRM0225C1C6R8,GRM0222C1C6R8"
capacitor,capacitor_3p_100V_chip_0603,C,chip_capacitor_0603,Capacitor 3p 5% 100V,"capacitor,smd",1,2,3p,5%,100V,"GRM1895C2A3R0,GRM1892C2A3R0"
capacitor,capacitor_9p7_50V_chip_0201,C,chip_capacitor_0201,Capacitor 9p7 5% 50V,"capacitor,smd",1,2,9p7,5%,50V,"GRM0335C1H9R7,GRM0332C1H9R7"
capacitor,capacitor_6p3_16V_chip_01005,C,chip_capacitor_01005,Capacitor 6p3 5% 16V,"capacitor,smd",1,2,6p3,5%,16V,"GRM0225C1C6R3,GRM0222C1C6R3"
capacitor,capacitor_1p8_100V_chip_0201,C,chip_capacitor_0201,Capacitor 1p8 5% 100V,"capacitor,smd",1,2,1p8,5%,100V,"GRM0335C2A1R8,GRM0334C2A1R8"
capacitor,capacitor_10u_25V_chip_1206,C,chip_capacitor_1206,Capacitor 10u 5% 25V,"capacitor,smd",1,2,10u,5%,25V,"12063A106"
capacitor,capacitor_7p7_100V_chip_0201,C,chip_capacitor_0201,Capacitor 7p7 5% 100V,"capacitor,smd",1,2,7p7,5%,100V,"GRM0335C2A7R7,GRM0332C2A7R7"
capacitor,capacitor_0p6_50V_chip_0402,C,chip_capacitor_0402,Capacitor 0p6 5% 50V,"capacitor,smd",1,2,0p6,5%,50V,"GRM1555C1H0R6,GRM1554C1H0R6,GRM1555C1H0R6,GRM1554C1H0R6,GRM1555C1H0R6,GRM1554C1H0R6"
capacitor,capacitor_68n_100V_chip_2225,C,chip_capacitor_2225,Capacitor 68n 5% 100V,"capacitor,smd",1,2,68n,5%,100V,"22251A683"
capacitor,capacitor_100n_200V_chip_1812,C,chip_capacitor_1812,Capacitor 100n 5% 200V,"capacitor,smd",1,2,100n,5%,200V,"18122A104"
capacitor,capacitor_68n_100V_chip_2220,C,chip_capacitor_2220,Capacitor 68n 5% 100V,"capacitor,smd",1,2,68n,5%,100V,"22201A683"
capacitor,capacitor_4p3_50V_chip_0603,C,chip_capacitor_0603,Capacitor 4p3 5% 50V,"capacitor,smd",1,2,4p3,5%,50V,"GRM1895C1H4R3,GRM1892C1H4R3"
