Dielectric,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness,A,B,C,E,G,J,K,M,N,P,Q,X,Y,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.33,0.22,0.56,0.71,0.90,0.94,1.02,1.27,1.40,1.52,1.80,2.29,2.54,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIZE,101,101,201,201,201,201,201,402,402,402,402,402,402,603,603,603,603,603,603,603,805,805,805,805,805,805,805,1206,1206,1206,1206,1206,1206,1206,1206,1210,1210,1210,1210,1210,1210,1210,1812,1812,1812,1812,1812,1812,1812
WVDC,6.3,16,4,6.3,10,16,25,4,6.3,10,16,25,50,4,6.3,10,16,25,35,50,4,6.3,10,16,25,35,50,4,6.3,10,16,25,35,50,100,4,6.3,10,16,25,35,50,4,6.3,10,16,25,35,50
100pF,,B,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150pF,,B,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220pF,,B,,,,,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330pF,,B,,,,,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470pF,,B,,,,,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680pF,,B,,,,,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000pF,,B,,,,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500pF,B,B,,,,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200pF,B,B,,,A,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300pF,B,B,,,A,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700pF,B,B,,,A,A,A,,,,,C,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800pF,B,B,,,A,A,A,,,,,C,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01uF,B,B,,,A,A,A,,,,,C,,,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015uF,B,,,,,,,,,,,C,,,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022uF,B,,,A,,,,,,,C,C,,,,,,G,G,G,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
0.033uF,B,,,,,,,,,,C,,,,,,,G,G,G,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
0.047uF,B,,,A,,,,,,,C,C,,,,,,G,G,G,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
0.068uF,B,,,,,,,,,,C,,,,,,,G,,G,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
0.1uF,B,,,A,A,,,,,C,C,C,C,,,,,G,G,G,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,
0.15uF,,,,,,,,,,,,,,,,,,G,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,
0.22uF,B,,A,A,A,,,,C,C,C,,,,,,G,G,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,
0.33uF,,,,,,,,,,,,,,,,,G,G,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,
0.47uF,,,A,A,,,,C,C,C,C,,,,,,G,J,,,,,,,N,P,P,,,,,Q,Q,,,,,,,,X,X,,,,,,,
0.68uF,,,,,,,,,,,,,,,,,G,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,
1.0uF,,,F,F,F,F,,C,C,C,C,E,,G,G,G,G,J,,,,,,N,N,P,P,,,,,Q,Q,Q,Q,,,,,X,X,X,,,,,,,
1.5uF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2uF,,,F,F,F,,,C,C,C,,,,G,G,G,J,J,,,,,N,N,N,P,P,,,Q,Q,Q,Q,Q,Q,,,,,X,Z,Z,,,,,,,
3.3uF,,,,,,,,,,,,,,J,J,J,,,,,,N,N,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
4.7uF,,,,,,,,,,,,,,J,J,J,G,,,,N,N,N,N,N,P,P,X,X,X,X,X,X,X,X,,,Q,Q,Z,Z,Z,,,,,,,
10uF,,,,,,,,,,,,,,K,K,K,J,,,,P,P,P,P,P,,,X,X,X,X,X,X,X,,,X,X,Z,Z,Z,Z,,,,,Z,,
22uF,,,,,,,,,,,,,,K,K,K,,,,,P,P,P,P,P,,,X,X,X,X,X,,,,Z,Z,Z,Z,Z,,,,,,,,,
47uF,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,X,X,X,,,,,,Z,Z,Z,Z,Z,,,,,,,,,
100uF,,,,,,,,,,,,,,,,,,,,,P,,,,,,,X,X,,,,,,,Z,Z,Z,Z,Z,,,,,,,,,
