GRM Series Temperature Compensating Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LxW (mm),0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.6x0.3,0.6x0.3,0.6x0.3,0.6x0.3,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,2.0x1.25,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x1.6,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,3.2x2.5,4.5x2.0,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,4.5x3.2,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0,5.7x5.0
T max. (mm),0.22,0.22,0.22,0.22,0.22,0.33,0.33,0.33,0.33,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.45,1.45,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.0,1.0,1.0,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,1.0,1.5,1.5,1.5,2.0,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0
Rated Voltage (Vdc),16,16,16,10,10,100,100,50,50,100,100,50,50,10,10,10,50,50,50,10,10,10,100,100,50,50,50,50,50,10,10,10,100,100,50,50,50,50,50,50,50,50,50,50,10,10,10,250,250,200,200,50,50,50,50,50,50,50,50,10,10,10,250,200,100,100,50,50,50,50,50,2000,1000,1000,630,630,500,500,250,200,1000,630,630,500,500,250,200,50,50,50,50,50,1000,630,500,250,50,50,25,25,16,16,2000,630,500,2000,1000,630,500,1000,630,500,250,1000,630,500,250,250,3150,1000,630,500,1000,630,500,1000,630,500,1000,630,500
Cap. / TC Code,C0G,CΔ,,C0G,CH,C0G,CΔ,C0G,CΔ,C0G,CΔ,C0G,CΔ,SL,U2J,UJ,SL,U2J,UJ,SL,U2J,UJ,C0G,CΔ,C0G,CΔ,SL,U2J,UJ,SL,U2J,UJ,C0G,CH,C0G,CH,SL,U2J,UJ,C0G,CH,SL,U2J,UJ,SL,U2J,UJ,C0G,U2J,C0G,U2J,SL,U2J,UJ,C0G,CH,SL,U2J,UJ,SL,U2J,UJ,U2J,U2J,C0G,CH,C0G,CH,SL,U2J,UJ,U2J,C0G,U2J,C0G,U2J,C0G,U2J,U2J,U2J,U2J,C0G,U2J,C0G,U2J,U2J,U2J,C0G,CH,SL,U2J,UJ,U2J,U2J,U2J,U2J,C0G,CH,C0G,CH,C0G,CH,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,C0G,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J,U2J
0.10pF,,,,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.50pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,C0G,CK,C0G,CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,C0G,CK,C0G,CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0pF,C0G,CK,CH,,,C0G,CJ,C0G,CJ,C0G,CJ,C0G,CJ,,,,,,,,,,C0G,CJ,C0G,CJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0pF,C0G,CJ,CH,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
