symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_2u2_100V_chip_1812,C,chip_capacitor_1812,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"18121A225"
capacitor,capacitor_220p_200V_chip_0603,C,chip_capacitor_0603,Capacitor 220pF 200V,"capacitor,smd",1,2,220p,5%,200V,"06032A221"
capacitor,capacitor_10n_10V_chip_1210,C,chip_capacitor_1210,Capacitor 10nF 10V,"capacitor,smd",1,2,10n,5%,10V,"1210ZA103"
capacitor,capacitor_33n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 33nF 25V,"capacitor,smd",1,2,33n,5%,25V,"18123A333"
capacitor,capacitor_1n5_25V_chip_0402,C,chip_capacitor_0402,Capacitor 1n5F 25V,"capacitor,smd",1,2,1n5,5%,25V,"04023A152"
capacitor,capacitor_100u_25V_chip_1210,C,chip_capacitor_1210,Capacitor 100uF 25V,"capacitor,smd",1,2,100u,5%,25V,"12103A107"
capacitor,capacitor_150n_50V_chip_1206,C,chip_capacitor_1206,Capacitor 150nF 50V,"capacitor,smd",1,2,150n,5%,50V,"12065A154"
capacitor,capacitor_1n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 1nF 10V,"capacitor,smd",1,2,1n,5%,10V,"0805ZA1001"
capacitor,capacitor_68n_25V_chip_0805,C,chip_capacitor_0805,Capacitor 68nF 25V,"capacitor,smd",1,2,68n,5%,25V,"08053A683"
capacitor,capacitor_680n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 50V,"capacitor,smd",1,2,680n,5%,50V,"12105A684"
capacitor,capacitor_1n5_100V_chip_0805,C,chip_capacitor_0805,Capacitor 1n5F 100V,"capacitor,smd",1,2,1n5,5%,100V,"08051A152"
capacitor,capacitor_680n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 680nF 50V,"capacitor,smd",1,2,680n,5%,50V,"18255A684"
capacitor,capacitor_10n_500V_chip_1206,C,chip_capacitor_1206,Capacitor 10nF 500V,"capacitor,smd",1,2,10n,5%,500V,"12067A103"
capacitor,capacitor_220n_50V_chip_2220,C,chip_capacitor_2220,Capacitor 220nF 50V,"capacitor,smd",1,2,220n,5%,50V,"22205A224"
capacitor,capacitor_3n3_16V_chip_0402,C,chip_capacitor_0402,Capacitor 3n3F 16V,"capacitor,smd",1,2,3n3,5%,16V,"0402YA332"
capacitor,capacitor_470n_10V_chip_1206,C,chip_capacitor_1206,Capacitor 470nF 10V,"capacitor,smd",1,2,470n,5%,10V,"1206ZA474"
capacitor,capacitor_220n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 220nF 50V,"capacitor,smd",1,2,220n,5%,50V,"22255A224"
capacitor,capacitor_220n_200V_chip_1812,C,chip_capacitor_1812,Capacitor 220nF 200V,"capacitor,smd",1,2,220n,5%,200V,"18122A224"
capacitor,capacitor_6n8_16V_chip_1210,C,chip_capacitor_1210,Capacitor 6n8F 16V,"capacitor,smd",1,2,6n8,5%,16V,"1210YA682"
capacitor,capacitor_100n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 100nF 10V,"capacitor,smd",1,2,100n,5%,10V,"0805ZA104"
capacitor,capacitor_470n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 470nF 16V,"capacitor,smd",1,2,470n,5%,16V,"0805YA474"
capacitor,capacitor_1n5_500V_chip_1206,C,chip_capacitor_1206,Capacitor 1n5F 500V,"capacitor,smd",1,2,1n5,5%,500V,"12067A152"
capacitor,capacitor_47n_200V_chip_2225,C,chip_capacitor_2225,Capacitor 47nF 200V,"capacitor,smd",1,2,47n,5%,200V,"22252A473"
capacitor,capacitor_220n_100V_chip_2225,C,chip_capacitor_2225,Capacitor 220nF 100V,"capacitor,smd",1,2,220n,5%,100V,"22251A224"
capacitor,capacitor_15n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 15nF 25V,"capacitor,smd",1,2,15n,5%,25V,"04023A153"
capacitor,capacitor_470p_200V_chip_0805,C,chip_capacitor_0805,Capacitor 470pF 200V,"capacitor,smd",1,2,470p,5%,200V,"08052A471"
capacitor,capacitor_33n_10V_chip_0402,C,chip_capacitor_0402,Capacitor 33nF 10V,"capacitor,smd",1,2,33n,5%,10V,"0402ZA333"
capacitor,capacitor_330n_16V_chip_0603,C,chip_capacitor_0603,Capacitor 330nF 16V,"capacitor,smd",1,2,330n,5%,16V,"0603YA334"
capacitor,capacitor_2u2_50V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2F 50V,"capacitor,smd",1,2,2u2,5%,50V,"12105A225"
capacitor,capacitor_2u2_100V_chip_2220,C,chip_capacitor_2220,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"22201A225"
capacitor,capacitor_100n_100V_chip_1812,C,chip_capacitor_1812,Capacitor 100nF 100V,"capacitor,smd",1,2,100n,5%,100V,"18121A104"
capacitor,capacitor_2n2_10V_chip_0402,C,chip_capacitor_0402,Capacitor 2n2F 10V,"capacitor,smd",1,2,2n2,5%,10V,"0402ZA222"
capacitor,capacitor_680n_16V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 16V,"capacitor,smd",1,2,680n,5%,16V,"1210YA684"
capacitor,capacitor_2u2_100V_chip_2225,C,chip_capacitor_2225,Capacitor 2u2F 100V,"capacitor,smd",1,2,2u2,5%,100V,"22251A225"
capacitor,capacitor_1u_50V_chip_0805,C,chip_capacitor_0805,Capacitor 1uF 50V,"capacitor,smd",1,2,1u,5%,50V,"08055A1004"
capacitor,capacitor_470p_100V_chip_0805,C,chip_capacitor_0805,Capacitor 470pF 100V,"capacitor,smd",1,2,470p,5%,100V,"08051A471"
capacitor,capacitor_22u_10V_chip_1206,C,chip_capacitor_1206,Capacitor 22uF 10V,"capacitor,smd",1,2,22u,5%,10V,"1206ZA226"
capacitor,capacitor_3n3_10V_chip_0402,C,chip_capacitor_0402,Capacitor 3n3F 10V,"capacitor,smd",1,2,3n3,5%,10V,"0402ZA332"
capacitor,capacitor_10n_200V_chip_1825,C,chip_capacitor_1825,Capacitor 10nF 200V,"capacitor,smd",1,2,10n,5%,200V,"18252A103"
capacitor,capacitor_68n_200V_chip_1812,C,chip_capacitor_1812,Capacitor 68nF 200V,"capacitor,smd",1,2,68n,5%,200V,"18122A683"
capacitor,capacitor_330p_50V_chip_0603,C,chip_capacitor_0603,Capacitor 330pF 50V,"capacitor,smd",1,2,330p,5%,50V,"06035A331"
capacitor,capacitor_10n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 10nF 25V,"capacitor,smd",1,2,10n,5%,25V,"04023A103"
capacitor,capacitor_10u_10V_chip_1210,C,chip_capacitor_1210,Capacitor 10uF 10V,"capacitor,smd",1,2,10u,5%,10V,"1210ZA106"
capacitor,capacitor_680p_16V_chip_0805,C,chip_capacitor_0805,Capacitor 680pF 16V,"capacitor,smd",1,2,680p,5%,16V,"0805YA681"
capacitor,capacitor_47n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 47nF 50V,"capacitor,smd",1,2,47n,5%,50V,"12105A473"
capacitor,capacitor_33n_25V_chip_1210,C,chip_capacitor_1210,Capacitor 33nF 25V,"capacitor,smd",1,2,33n,5%,25V,"12103A333"
capacitor,capacitor_680n_25V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 25V,"capacitor,smd",1,2,680n,5%,25V,"12103A684"
capacitor,capacitor_220n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 220nF 16V,"capacitor,smd",1,2,220n,5%,16V,"0805YA224"
capacitor,capacitor_68n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 68nF 16V,"capacitor,smd",1,2,68n,5%,16V,"0402YA683"
capacitor,capacitor_1u_10V_chip_1206,C,chip_capacitor_1206,Capacitor 1uF 10V,"capacitor,smd",1,2,1u,5%,10V,"1206ZA1004"
capacitor,capacitor_22n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 22nF 50V,"capacitor,smd",1,2,22n,5%,50V,"12105A223"
capacitor,capacitor_15n_50V_chip_2220,C,chip_capacitor_2220,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"22205A153"
capacitor,capacitor_15n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"22255A153"
