symbol,name,unit,reference,footprint,alias,description,keywords,document
connector_1x1_male,CONNECTOR_1X1_MALE_THD,0,CON,pin_connector_thd_male_1x1_2.54mm,,"1x1 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x2_male,CONNECTOR_1X2_MALE_THD,0,CON,pin_connector_thd_male_1x2_2.54mm,,"1x2 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x3_male,CONNECTOR_1X3_MALE_THD,0,CON,pin_connector_thd_male_1x3_2.54mm,,"1x3 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x4_male,CONNECTOR_1X4_MALE_THD,0,CON,pin_connector_thd_male_1x4_2.54mm,,"1x4 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x5_male,CONNECTOR_1X5_MALE_THD,0,CON,pin_connector_thd_male_1x5_2.54mm,,"1x5 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x6_male,CONNECTOR_1X6_MALE_THD,0,CON,pin_connector_thd_male_1x6_2.54mm,,"1x6 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x7_male,CONNECTOR_1X7_MALE_THD,0,CON,pin_connector_thd_male_1x7_2.54mm,,"1x7 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x8_male,CONNECTOR_1X8_MALE_THD,0,CON,pin_connector_thd_male_1x8_2.54mm,,"1x8 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x9_male,CONNECTOR_1X9_MALE_THD,0,CON,pin_connector_thd_male_1x9_2.54mm,,"1x9 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x10_male,CONNECTOR_1X10_MALE_THD,0,CON,pin_connector_thd_male_1x10_2.54mm,,"1x10 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x1_male,CONNECTOR_2x1_MALE_THD,0,CON,pin_connector_thd_male_2x1_2.54mm,,"2x1 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x2_male,CONNECTOR_2x2_MALE_THD,0,CON,pin_connector_thd_male_2x2_2.54mm,,"2x2 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x3_male,CONNECTOR_2x3_MALE_THD,0,CON,pin_connector_thd_male_2x3_2.54mm,,"2x3 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x4_male,CONNECTOR_2x4_MALE_THD,0,CON,pin_connector_thd_male_2x4_2.54mm,,"2x4 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x5_male,CONNECTOR_2x5_MALE_THD,0,CON,pin_connector_thd_male_2x5_2.54mm,,"2x5 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x6_male,CONNECTOR_2x6_MALE_THD,0,CON,pin_connector_thd_male_2x6_2.54mm,,"2x6 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x7_male,CONNECTOR_2x7_MALE_THD,0,CON,pin_connector_thd_male_2x7_2.54mm,,"2x7 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x8_male,CONNECTOR_2x8_MALE_THD,0,CON,pin_connector_thd_male_2x8_2.54mm,,"2x8 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x9_male,CONNECTOR_2x9_MALE_THD,0,CON,pin_connector_thd_male_2x9_2.54mm,,"2x9 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_2x10_male,CONNECTOR_2x10_MALE_THD,0,CON,pin_connector_thd_male_2x10_2.54mm,,"2x10 male through hole pin connector, 2.54mm grid","connector, through hole, male",
connector_1x1_female,CONNECTOR_1X1_FEMALE_THD,0,CON,pin_connector_thd_female_1x1_2.54mm,,"1x1 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x2_female,CONNECTOR_1X2_FEMALE_THD,0,CON,pin_connector_thd_female_1x2_2.54mm,,"1x2 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x3_female,CONNECTOR_1X3_FEMALE_THD,0,CON,pin_connector_thd_female_1x3_2.54mm,,"1x3 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x4_female,CONNECTOR_1X4_FEMALE_THD,0,CON,pin_connector_thd_female_1x4_2.54mm,,"1x4 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x5_female,CONNECTOR_1X5_FEMALE_THD,0,CON,pin_connector_thd_female_1x5_2.54mm,,"1x5 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x6_female,CONNECTOR_1X6_FEMALE_THD,0,CON,pin_connector_thd_female_1x6_2.54mm,,"1x6 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x7_female,CONNECTOR_1X7_FEMALE_THD,0,CON,pin_connector_thd_female_1x7_2.54mm,,"1x7 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x8_female,CONNECTOR_1X8_FEMALE_THD,0,CON,pin_connector_thd_female_1x8_2.54mm,,"1x8 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x9_female,CONNECTOR_1X9_FEMALE_THD,0,CON,pin_connector_thd_female_1x9_2.54mm,,"1x9 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_1x10_female,CONNECTOR_1X10_FEMALE_THD,0,CON,pin_connector_thd_female_1x10_2.54mm,,"1x10 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_2x1_female,CONNECTOR_2x1_FEMALE_THD,0,CON,pin_connector_thd_female_2x1_2.54mm,,"2x1 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_2x2_female,CONNECTOR_2x2_FEMALE_THD,0,CON,pin_connector_thd_female_2x2_2.54mm,,"2x2 female through hole pin connector, 2.54mm grid","connector, through hole, female",
connector_2x3_female,CONNECTOR_2x3_FEMALE_THD,0,CON,pin_connector_thd_female_2x3_2.54mm,,"2x3 female through hole pin connector, 2.54mm grid","connector, through hole, female",
