symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage
capacitor,capacitor_100pF_10_chip_capacitor_101V,C,chip_capacitor_101,Capacitor 100pF 5% 10V,"capacitor,smd",1,2,100pF,5%,10V
capacitor,capacitor_100pF_10_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 100pF 5% 10V,"capacitor,smd",1,2,100pF,5%,10V
capacitor,capacitor_100pF_16_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 100pF 5% 16V,"capacitor,smd",1,2,100pF,5%,16V
capacitor,capacitor_100pF_25_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 100pF 5% 25V,"capacitor,smd",1,2,100pF,5%,25V
capacitor,capacitor_100pF_50_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 100pF 5% 50V,"capacitor,smd",1,2,100pF,5%,50V
capacitor,capacitor_100pF_16_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 100pF 5% 16V,"capacitor,smd",1,2,100pF,5%,16V
capacitor,capacitor_100pF_25_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 100pF 5% 25V,"capacitor,smd",1,2,100pF,5%,25V
capacitor,capacitor_100pF_50_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 100pF 5% 50V,"capacitor,smd",1,2,100pF,5%,50V
capacitor,capacitor_100pF_100_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 100pF 5% 100V,"capacitor,smd",1,2,100pF,5%,100V
capacitor,capacitor_100pF_200_chip_capacitor_603V,C,chip_capacitor_603,Capacitor 100pF 5% 200V,"capacitor,smd",1,2,100pF,5%,200V
capacitor,capacitor_150pF_10_chip_capacitor_101V,C,chip_capacitor_101,Capacitor 150pF 5% 10V,"capacitor,smd",1,2,150pF,5%,10V
capacitor,capacitor_150pF_10_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 150pF 5% 10V,"capacitor,smd",1,2,150pF,5%,10V
