symbol,name,unit,reference,footprint,alias,description,keywords,document,version,a,b,c,d,e,f,g,h,q,cp,oe,y,z,vcc,gnd
logic_nand2_power,74AHC1G00GW,0,IC,tssop_5,74AHCT1G00GW,Single 2-input NAND gate,"single, nand, smd",doc/logic/74AHC_AHCT1G00.pdf,SOT353-1,2,1,,,,,,,,,,4,,5,3
logic_nand2_power,74AHC1G00GV,0,IC,sc_74a,74AHCT1G00GV,Single 2-input NAND gate,"single, nand, smd",doc/logic/74AHC_AHCT1G00.pdf,SOT753,2,1,,,,,,,,,,4,,5,3
logic_nor2_power,74AHC1G02GW,0,IC,tssop_5,74AHCT1G02GW,Single 2-input NOR gate,"single, nor, smd",doc/logic/74AHC_AHCT1G02.pdf,SOT353-1,2,1,,,,,,,,,,4,,5,3
logic_nor2_power,74AHC1G02GV,0,IC,sc_74a,74AHCT1G02GV,Single 2-input NOR gate,"single, nor, smd",doc/logic/74AHC_AHCT1G02.pdf,SOT753,2,1,,,,,,,,,,4,,5,3
logic_not_power,74AHC1G04GW,0,IC,tssop_5,74AHCT1G04GW,Single inverter,"single, inverter, smd",doc/logic/74AHC_AHCT1G04.pdf,SOT353-1,2,,,,,,,,,,,4,,5,3
logic_not_power,74AHC1G04GV,0,IC,sc_74a,74AHCT1G04GV,Single inverter,"single, inverter, smd",doc/logic/74AHC_AHCT1G04.pdf,SOT753,2,,,,,,,,,,,4,,5,3
logic_not_power,74AHC1G04GM,0,IC,xson_6,74AHCT1G04GM,Single inverter,"single, inverter, smd",doc/logic/74AHC_AHCT1G04.pdf,,2,,,,,,,,,,,4,,5,3
logic_not_power,74AHC1G06GW,0,IC,tssop_5,74AHCT1G06GW,Single inverter with open-drain output,"single, inverter, open-drain output, smd",doc/logic/74AHC_AHCT1G06.pdf,SOT353-1,2,,,,,,,,,,,4,,5,3
logic_not_power,74AHC1G06GV,0,IC,sc_74a,74AHCT1G06GV,Single inverter with open-drain output,"single, inverter, open-drain output, smd",doc/logic/74AHC_AHCT1G06.pdf,SOT753,2,,,,,,,,,,,4,,5,3
logic_buffer_power,74AHC1G07GW,0,IC,tssop_5,74AHCT1G07GW,Single buffer with open-drain output,"single, buffer, open-drain output, smd",doc/logic/74AHC_AHCT1G07.pdf,SOT353-1,2,,,,,,,,,,,4,,5,3
logic_buffer_power,74AHC1G07GV,0,IC,sc_74a,74AHCT1G07GV,Single buffer with open-drain output,"single, buffer, open-drain output, smd",doc/logic/74AHC_AHCT1G07.pdf,SOT753,2,,,,,,,,,,,4,,5,3
logic_and2_power,74AHC1G08GW,0,IC,tssop_5,74AHCT1G08GW,Single 2-input AND gate,"single, and, smd",doc/logic/74AHC_AHCT1G08.pdf,SOT353-1,2,1,,,,,,,,,,4,,5,3
logic_and2_power,74AHC1G08GV,0,IC,sc_74a,74AHCT1G08GV,Single 2-input AND gate,"single, and, smd",doc/logic/74AHC_AHCT1G08.pdf,SOT753,2,1,,,,,,,,,,4,,5,3
logic_schmitt_not_power,74AHC1G14GW,0,IC,tssop_5,74AHCT1G14GW,Single inverting Schmitt trigger,"single, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT1G14.pdf,SOT353-1,2,,,,,,,,,,,4,,5,3
logic_schmitt_not_power,74AHC1G14GV,0,IC,sc_74a,74AHCT1G14GV,Single inverting Schmitt trigger,"single, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT1G14.pdf,SOT753,2,,,,,,,,,,,4,,5,3
logic_schmitt_power,74AHC1G17GW,0,IC,tssop_5,74AHCT1G17GW,Single Schmitt trigger buffer,"single, buffer, schmitt trigger, smd",doc/logic/74AHC_AHCT1G17.pdf,SOT353-1,2,,,,,,,,,,,4,,5,3
logic_schmitt_power,74AHC1G17GV,0,IC,sc_74a,74AHCT1G17GV,Single Schmitt trigger buffer,"single, buffer, schmitt trigger, smd",doc/logic/74AHC_AHCT1G17.pdf,SOT753,2,,,,,,,,,,,4,,5,3
logic_schmitt_power,74AHC1G17GM,0,IC,xson_6,74AHCT1G17GM,Single Schmitt trigger buffer,"single, buffer, schmitt trigger, smd",doc/logic/74AHC_AHCT1G17.pdf,SOT886,2,,,,,,,,,,,4,,5,3
logic_schmitt_power,74AHC1G17GF,0,IC,xson_6,74AHCT1G17GF,Single Schmitt trigger buffer,"single, buffer, schmitt trigger, smd",doc/logic/74AHC_AHCT1G17.pdf,SOT891,2,,,,,,,,,,,4,,5,3
logic_or2_power,74AHC1G32GW,0,IC,tssop_5,74AHCT1G32GW,Single 2-input OR gate,"single, or, smd",doc/logic/74AHC_AHCT1G32.pdf,SOT353-1,2,1,,,,,,,,,,4,,5,3
logic_or2_power,74AHC1G32GV,0,IC,sc_74a,74AHCT1G32GV,Single 2-input OR gate,"single, or, smd",doc/logic/74AHC_AHCT1G32.pdf,SOT753,2,1,,,,,,,,,,4,,5,3
