symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_1R0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R0 5% 0.05W,"resistor, smd",1,2,1R0,5%,0.05W
resistor,resistor_1R1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R1 5% 0.05W,"resistor, smd",1,2,1R1,5%,0.05W
resistor,resistor_1R2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R2 5% 0.05W,"resistor, smd",1,2,1R2,5%,0.05W
resistor,resistor_1R3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R3 5% 0.05W,"resistor, smd",1,2,1R3,5%,0.05W
resistor,resistor_1R5_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R5 5% 0.05W,"resistor, smd",1,2,1R5,5%,0.05W
resistor,resistor_1R6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R6 5% 0.05W,"resistor, smd",1,2,1R6,5%,0.05W
resistor,resistor_1R8_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1R8 5% 0.05W,"resistor, smd",1,2,1R8,5%,0.05W
resistor,resistor_2R0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2R0 5% 0.05W,"resistor, smd",1,2,2R0,5%,0.05W
resistor,resistor_2R2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2R2 5% 0.05W,"resistor, smd",1,2,2R2,5%,0.05W
resistor,resistor_2R4_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2R4 5% 0.05W,"resistor, smd",1,2,2R4,5%,0.05W
resistor,resistor_2R7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 2R7 5% 0.05W,"resistor, smd",1,2,2R7,5%,0.05W
resistor,resistor_3R0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3R0 5% 0.05W,"resistor, smd",1,2,3R0,5%,0.05W
resistor,resistor_3R3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3R3 5% 0.05W,"resistor, smd",1,2,3R3,5%,0.05W
resistor,resistor_3R6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3R6 5% 0.05W,"resistor, smd",1,2,3R6,5%,0.05W
resistor,resistor_3R9_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 3R9 5% 0.05W,"resistor, smd",1,2,3R9,5%,0.05W
resistor,resistor_4R3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4R3 5% 0.05W,"resistor, smd",1,2,4R3,5%,0.05W
resistor,resistor_4R7_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 4R7 5% 0.05W,"resistor, smd",1,2,4R7,5%,0.05W
resistor,resistor_5R1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5R1 5% 0.05W,"resistor, smd",1,2,5R1,5%,0.05W
resistor,resistor_5R6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 5R6 5% 0.05W,"resistor, smd",1,2,5R6,5%,0.05W
resistor,resistor_6R2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 6R2 5% 0.05W,"resistor, smd",1,2,6R2,5%,0.05W
