symbol,name,section,unit,reference,footprint,alias,description,keywords,document
si/EZR32LG/PORTA,EZR32LG230FE55G,Port A,1,IC,qfn_64,EZR32LG230FF55G EZR32LG230FG55G EZR32LG230FE60G EZR32LG230FF60G EZR32LG230FG60G EZR32LG230FE61G EZR32LG230FF61G EZR32LG230FG61G EZR32LG230FE63G EZR32LG230FF63G EZR32LG230FG63G EZR32LG230FE67G EZR32LG230FF67G EZR32LG230FG67G EZR32LG230FE68G EZR32LG230FF68G EZR32LG230FG68G EZR32LG230FE69G EZR32LG230FF69G EZR32LG230FG69G,EZR32LG230 Wireless MCU family with ARM Cortex-M3 CPU and sub-GHz Radio,"rf, mcu, cortex-m3",doc/rf/EZR32LG/EZR230LG.pdf
si/EZR32LG/PORTB,EZR32LG230FE55G,Port B,2,,,,,,
si/EZR32LG/PORTC,EZR32LG230FE55G,Port C,3,,,,,,
si/EZR32LG/PORTD,EZR32LG230FE55G,Port D,4,,,,,,
si/EZR32LG/PORTE,EZR32LG230FE55G,Port E,5,,,,,,
si/EZR32LG/PORTF,EZR32LG230FE55G,Port F,6,,,,,,
si/EZR32LG/RF,EZR32LG230FE55G,Radio,7,,,,,,
si/EZR32LG/POWER,EZR32LG230FE55G,Power,8,,,,,,
si/EZR32LG/DEBUG,EZR32LG230FE55G,Debug interfaces,9,,,,,,
si/EZR32LG/ACMP,EZR32LG230FE55G,Analog Comparator,10,,,,,,
si/EZR32LG/ADC,EZR32LG230FE55G,Analog Converter,11,,,,,,
si/EZR32LG/DAC,EZR32LG230FE55G,Digital Analog converter,12,,,,,,
si/EZR32LG/I2C,EZR32LG230FE55G,I2C,13,,,,,,
si/EZR32LG/LSENSE,EZR32LG230FE55G,LSENSE,14,,,,,,
si/EZR32LG/UART,EZR32LG230FE55G,UART,15,,,,,,
si/EZR32LG/USART,EZR32LG230FE55G,USART,16,,,,,,
si/EZR32LG/CNT,EZR32LG230FE55G,Counter,17,,,,,,
si/EZR32LG/TIMER,EZR32LG230FE55G,Timer,18,,,,,,
si/EZR32LG/CLK,EZR32LG230FE55G,Clock,19,,,,,,
