name,number,orientation,decoration
connector_1x1_male,1,left,male
connector_1x2_male,2,left,male
connector_1x3_male,3,left,male
connector_1x4_male,4,left,male
connector_1x5_male,5,left,male
connector_1x6_male,6,left,male
connector_1x7_male,7,left,male
connector_1x8_male,8,left,male
connector_1x9_male,9,left,male
connector_1x10_male,10,left,male
connector_1x11_male,11,left,male
connector_1x12_male,12,left,male
connector_1x13_male,13,left,male
connector_1x14_male,14,left,male
connector_1x15_male,15,left,male
connector_1x16_male,16,left,male
connector_1x17_male,17,left,male
connector_1x18_male,18,left,male
connector_1x19_male,19,left,male
connector_1x20_male,20,left,male
connector_1x21_male,21,left,male
connector_1x22_male,22,left,male
connector_1x23_male,23,left,male
connector_1x24_male,24,left,male
connector_1x25_male,25,left,male
connector_1x26_male,26,left,male
connector_1x27_male,27,left,male
connector_1x28_male,28,left,male
connector_1x29_male,29,left,male
connector_1x30_male,30,left,male
connector_1x31_male,31,left,male
connector_1x32_male,32,left,male
connector_2x1_male,2,both,male
connector_2x2_male,4,both,male
connector_2x3_male,6,both,male
connector_2x4_male,8,both,male
connector_2x5_male,10,both,male
connector_2x6_male,12,both,male
connector_2x7_male,14,both,male
connector_2x8_male,16,both,male
connector_2x9_male,18,both,male
connector_2x10_male,20,both,male
connector_2x11_male,22,both,male
connector_2x12_male,24,both,male
connector_2x13_male,26,both,male
connector_2x14_male,28,both,male
connector_2x15_male,30,both,male
connector_2x16_male,32,both,male
connector_2x17_male,34,both,male
connector_2x18_male,36,both,male
connector_2x19_male,38,both,male
connector_2x20_male,40,both,male
connector_2x21_male,42,both,male
connector_2x22_male,44,both,male
connector_2x23_male,46,both,male
connector_2x24_male,48,both,male
connector_2x25_male,50,both,male
connector_2x26_male,52,both,male
connector_2x27_male,54,both,male
connector_2x28_male,56,both,male
connector_2x29_male,58,both,male
connector_2x30_male,60,both,male
connector_2x31_male,62,both,male
connector_2x32_male,64,both,male
connector_1x1_female,1,left,female
connector_1x2_female,2,left,female
connector_1x3_female,3,left,female
connector_1x4_female,4,left,female
connector_1x5_female,5,left,female
connector_1x6_female,6,left,female
connector_1x7_female,7,left,female
connector_1x8_female,8,left,female
connector_1x9_female,9,left,female
connector_1x10_female,10,left,female
connector_1x11_female,11,left,female
connector_1x12_female,12,left,female
connector_1x13_female,13,left,female
connector_1x14_female,14,left,female
connector_1x15_female,15,left,female
connector_1x16_female,16,left,female
connector_1x17_female,17,left,female
connector_1x18_female,18,left,female
connector_1x19_female,19,left,female
connector_1x20_female,20,left,female
connector_1x21_female,21,left,female
connector_1x22_female,22,left,female
connector_1x23_female,23,left,female
connector_1x24_female,24,left,female
connector_1x25_female,25,left,female
connector_1x26_female,26,left,female
connector_1x27_female,27,left,female
connector_1x28_female,28,left,female
connector_1x29_female,29,left,female
connector_1x30_female,30,left,female
connector_1x31_female,31,left,female
connector_1x32_female,32,left,female
connector_2x1_female,2,both,female
connector_2x2_female,4,both,female
connector_2x3_female,6,both,female
connector_2x4_female,8,both,female
connector_2x5_female,10,both,female
connector_2x6_female,12,both,female
connector_2x7_female,14,both,female
connector_2x8_female,16,both,female
connector_2x9_female,18,both,female
connector_2x10_female,20,both,female
connector_2x11_female,22,both,female
connector_2x12_female,24,both,female
connector_2x13_female,26,both,female
connector_2x14_female,28,both,female
connector_2x15_female,30,both,female
connector_2x16_female,32,both,female
connector_2x17_female,34,both,female
connector_2x18_female,36,both,female
connector_2x19_female,38,both,female
connector_2x20_female,40,both,female
connector_2x21_female,42,both,female
connector_2x22_female,44,both,female
connector_2x23_female,46,both,female
connector_2x24_female,48,both,female
connector_2x25_female,50,both,female
connector_2x26_female,52,both,female
connector_2x27_female,54,both,female
connector_2x28_female,56,both,female
connector_2x29_female,58,both,female
connector_2x30_female,60,both,female
connector_2x31_female,62,both,female
connector_2x32_female,64,both,female
