Part,TM4C123GH6PM
Package,64LQFP
Number,Name,Type,Buffer,Description
"1","PB6","I/O","TTL","GPIO port B bit 6.",
1,"M0PWM0","O","TTL","Motion Control Module 0 PWM 0. This signal is controlled by Module 0 PWM Generator 0.",
1,"SSI2Rx","I","TTL","SSI module 2 receive.",
1,"T0CCP0","I/O","TTL","16/32-Bit Timer 0 Capture/Compare/PWM 0.",
"2","VDDA","-","Power","The positive supply for the analog circuits (ADC, Analog Comparators, etc.). These are separated from VDD to minimize the electrical noise contained on VDD from affecting the analog functions. VDDA pins must be supplied with a voltage that meets the specification in , regardless of system implementation.",
"3","GNDA","-","Power","The ground reference for the analog circuits (ADC, Analog Comparators, etc.). These are separated from GND to minimize the electrical noise contained on VDD from affecting the analog functions.",
"4","PB7","I/O","TTL","GPIO port B bit 7.",
4,"M0PWM1","O","TTL","Motion Control Module 0 PWM 1. This signal is controlled by Module 0 PWM Generator 0.",
4,"SSI2Tx","O","TTL","SSI module 2 transmit.",
4,"T0CCP1","I/O","TTL","16/32-Bit Timer 0 Capture/Compare/PWM 1.",
"5","PF4","I/O","TTL","GPIO port F bit 4.",
5,"IDX0","I","TTL","QEI module 0 index.",
5,"M1FAULT0","I","TTL","Motion Control Module 1 PWM Fault 0.",
5,"T2CCP0","I/O","TTL","16/32-Bit Timer 2 Capture/Compare/PWM 0.",
5,"USB0EPEN","O","TTL","Optionally used in Host mode to control an external power source to supply power to the USB bus.",
"6","PE3","I/O","TTL","GPIO port E bit 3.",
6,"AIN0","I","Analog","Analog-to-digital converter input 0.",
"7","PE2","I/O","TTL","GPIO port E bit 2.",
7,"AIN1","I","Analog","Analog-to-digital converter input 1.",
"8","PE1","I/O","TTL","GPIO port E bit 1.",
8,"AIN2","I","Analog","Analog-to-digital converter input 2.",
8,"U7Tx","O","TTL","UART module 7 transmit.",
"9","PE0","I/O","TTL","GPIO port E bit 0.",
9,"AIN3","I","Analog","Analog-to-digital converter input 3.",
9,"U7Rx","I","TTL","UART module 7 receive.",
"10","PD7","I/O","TTL","GPIO port D bit 7.",
10,"NMI","I","TTL","Non-maskable interrupt.",
10,"PhB0","I","TTL","QEI module 0 phase B.",
10,"U2Tx","O","TTL","UART module 2 transmit.",
10,"WT5CCP1","I/O","TTL","32/64-Bit Wide Timer 5 Capture/Compare/PWM 1.",
"11","VDD","-","Power","Positive supply for I/O and some logic.",
"12","GND","-","Power","Ground reference for logic and I/O pins.",
"13","PC7","I/O","TTL","GPIO port C bit 7.",
13,"C0-","I","Analog","Analog comparator 0 negative input.",
