GRM Series Temperature Compensating Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
LxW (mm),0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.4x0.2,0.6x0.3,0.6x0.3,0.6x0.3,0.6x0.3,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.0x0.5,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8,1.6x0.8
T max. (mm),0.22,0.22,0.22,0.22,0.22,0.33,0.33,0.33,0.33,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9
Rated Voltage (Vdc),16,16,16,10,10,100,100,50,50,100,100,50,50,10,10,10,50,50,50,10,10,10,100,100,50,50,50
Cap. / TC Code,C0G,CΔ,,C0G,CH,C0G,CΔ,C0G,CΔ,C0G,CΔ,C0G,CΔ,SL,U2J,UJ,SL,U2J,UJ,SL,U2J,UJ,C0G,CΔ,C0G,CΔ,SL
0.10pF,,,,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,,,,,
0.20pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,,,,,
0.50pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,C0G,CK,C0G,CK,
1.0pF,C0G,CK,CH,,,C0G,CK,C0G,CK,C0G,CK,C0G,CK,,,,,,,,,,C0G,CK,C0G,CK,
2.0pF,C0G,CK,CH,,,C0G,CJ,C0G,CJ,C0G,CJ,C0G,CJ,,,,,,,,,,C0G,CJ,C0G,CJ,
3.0pF,C0G,CJ,CH,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
4.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
5.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
6.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
7.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
8.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
9.0pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
10pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
10.5pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
11pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
12pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
12.5pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
13pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
14pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
15pF,C0G,CH,,,,C0G,CH,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
16pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
17pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
18pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
19pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
20pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
21pF,,CH,,,,,,,,,,,,,,,,,,,,,,,,,
22pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
24pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
27pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
30pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
33pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
36pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
39pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
43pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
47pF,C0G,CH,,,,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
51pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
56pF,C0G,CH,,C0G,CH,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
62pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
68pF,C0G,CH,,C0G,CH,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
75pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
82pF,C0G,CH,,C0G,CH,,,C0G,CH,C0G,CH,C0G,CH,,,,,,,,,,C0G,CH,C0G,CH,
91pF,C0G,CH,,,,,,,,,,,,,,,,,,,,,,,,,
94pF,C0G,,,,,,,,,,,,,,,,,,,,,,,,,,
