number,name,type,shape,direction
1,T0CCP0,bidirectional,line,left
28,T0CCP0,bidirectional,line,left
4,T0CCP1,bidirectional,line,left
29,T0CCP1,bidirectional,line,left
30,T1CCP0,bidirectional,line,left
58,T1CCP0,bidirectional,line,left
31,T1CCP1,bidirectional,line,left
57,T1CCP1,bidirectional,line,left
5,T2CCP0,bidirectional,line,left
45,T2CCP0,bidirectional,line,left
46,T2CCP1,bidirectional,line,left
47,T3CCP0,bidirectional,line,left
48,T3CCP1,bidirectional,line,left
52,T4CCP0,bidirectional,line,left
51,T4CCP1,bidirectional,line,left
50,T5CCP0,bidirectional,line,left
49,T5CCP1,bidirectional,line,left
