number,name,type,shape,direction
18,U0Tx,output,line,left
17,U0Rx,input,line,left
,~,space,line,left
15,U1Tx,output,line,left
46,U1Tx,output,line,left
16,U1Rx,input,line,left
45,U1Rx,input,line,left
16,U1RTS,output,line,left
28,U1RTS,output,line,left
15,U1CTS,input,line,left
29,U1CTS,input,line,left
,~,space,line,left
10,U2Tx,output,line,left
53,U2Rx,input,line,left
,~,space,line,left
13,U3Tx,output,line,left
14,U3Rx,input,line,left
,~,space,line,left
15,U4Tx,output,line,left
16,U4Rx,input,line,left
,~,space,line,left
60,U5Tx,output,line,left
59,U5Rx,input,line,left
,~,space,line,left
44,U6Tx,output,line,left
43,U6Rx,input,line,left
,~,space,line,left
8,U7Tx,output,line,left
9,U7Rx,input,line,left
