number,name,type,shape,direction
13,EXTINT0,input,line,left
12,EXTINT1,input,line,left
14,EXTINT1,input,line,left
1,EXTINT2,input,line,left
9,EXTINT2,input,line,left
19,EXTINT2,input,line,left
2,EXTINT3,input,line,left
10,EXTINT3,input,line,left
20,EXTINT3,input,line,left
3,EXTINT4,input,line,left
21,EXTINT4,input,line,left
4,EXTINT5,input,line,left
22,EXTINT5,input,line,left
5,EXTINT6,input,line,left
7,EXTINT6,input,line,left
15,EXTINT6,input,line,left
6,EXTINT7,input,line,left
8,EXTINT7,input,line,left
16,EXTINT7,input,line,left
17,EXTINT7,input,line,left
11,NMI,input,line,left
