number,name,type,shape,direction
1,PA02,bidirectional,line,left
2,PA03,bidirectional,line,left
3,PA04,bidirectional,line,left
4,PA05,bidirectional,line,left
5,PA06,bidirectional,line,left
6,PA07,bidirectional,line,left
7,PA08,bidirectional,line,left
8,PA09,bidirectional,line,left
9,PA10,bidirectional,line,left
10,PA11,bidirectional,line,left
11,PA14,bidirectional,line,left
12,PA15,bidirectional,line,left
13,PA16,bidirectional,line,left
14,PA17,bidirectional,line,left
15,PA22,bidirectional,line,left
16,PA23,bidirectional,line,left
21,PA24,bidirectional,line,left
22,PA25,bidirectional,line,left
17,PA27,bidirectional,line,left
18,PA28,bidirectional,line,left
19,PA30,bidirectional,line,left
20,PA31,bidirectional,line,left
