soic_14,soic_20,qfn_24,,,,,,,,,,,,,,,,
number,number,number,name,type,,,EIC,REF,ADC,AC,PTC,DAC,SERCOM,SERCOM-ALT,TC/TCC,TCC,COM,GCLK
13,18,1,PA02,bidirectional,,,EXTINT[2],,AIN[0],,Y[0],VOUT,,,,,,
,19,2,PA03,bidirectional,,,EXTINT[3],ADC/VREFA,AIN[1],,Y[1],,,,,,,
14,20,3,PA04,bidirectional,,,EXTINT[4],ADC/VREFB,AIN[2],AIN[0],Y[2],,SERCOM0/PAD[2],SERCOM0/PAD[0],,,,
1,1,4,PA05,bidirectional,,,EXTINT[5],,AIN[3],AIN[1],Y[3],,SERCOM0/PAD[3],SERCOM0/PAD[1],,,,
,2,5,PA06,bidirectional,,,EXTINT[6],,AIN[4],AIN[2],Y[4],,SERCOM0/PAD[0],SERCOM0/PAD[2],,,,
,3,6,PA07,bidirectional,,,EXTINT[7],,AIN[5],AIN[3],Y[5],,SERCOM0/PAD[1],SERCOM0/PAD[3],,,,
2,4,7,PA08,bidirectional,XIN,XIN32,EXTINT[6],,,,,,SERCOM1/PAD[2],SERCOM0/PAD[2],,,,
3,5,8,PA09,bidirectional,XOUT,XOUT32,EXTINT[7],,,,,,SERCOM1/PAD[3],SERCOM0/PAD[3],,,,
,,9,PA10,bidirectional,,,EXTINT[2],,AIN[8],,X[2]/Y[8],,SERCOM0/PAD[2],SERCOM2/PAD[2],,,,
,,10,PA11,bidirectional,,,EXTINT[3],,AIN[9],,X[3]/Y[9],,SERCOM0/PAD[3],SERCOM2/PAD[3],,,,
4,6,11,PA14,bidirectional,,,NMI,,AIN[6],,X[0]/Y[6],,SERCOM0/PAD[0],SERCOM2/PAD[0],,,,
5,7,12,PA15,bidirectional,,,EXTINT[1],,AIN[7],,X[1]/Y[7],,SERCOM0/PAD[1],SERCOM2/PAD[1],,,,
,8,13,PA16,bidirectional,,,EXTINT[0],,,,X[4]/Y[10],,SERCOM1/PAD[2],SERCOM2/PAD[2],,,,
,,14,PA17,bidirectional,,,EXTINT[1],,,,X[5]/Y[11],,SERCOM1/PAD[3],SERCOM2/PAD[3],,,,
,9,15,PA22,bidirectional,,,EXTINT[6],,,,X[6]/Y[12],,SERCOM1/PAD[0],SERCOM2/PAD[0],,,,
,10,16,PA23,bidirectional,,,EXTINT[7],,,,X[7]/Y[13],,SERCOM1/PAD[1],SERCOM2/PAD[1],,,,
,,17,PA27,bidirectional,,,EXTINT[7],,,,X[10],,,,,,,
6,11,18,PA28,bidirectional,~RST,,,,,,,,,,,,,
7,12,19,PA30,bidirectional,SWCLK,,EXTINT[2],,,,,,SERCOM1/PAD[0],SERCOM1/PAD[2],TC2/WO[0],TCC0/WO[2],,
8,13,20,PA31,bidirectional,SWDIO,,EXTINT[3],,,,,,SERCOM1/PAD[1],SERCOM1/PAD[3],TC2/WO[1],TCC0/WO[3],,
9,14,21,PA24,bidirectional,,,EXTINT[4],,,,X[8]/Y[14],,SERCOM1/PAD[2],SERCOM2/PAD[2],TCC0/WO[2],TCC0/WO[4],,
10,15,22,PA25,bidirectional,,,EXTINT[5],,,,X[9]/Y[15],,SERCOM1/PAD[3],SERCOM2/PAD[3],TCC0/WO[3],,,
11,16,23,GND,,,,,,,,,,,,,,,
12,17,24,VDD,,,,,,,,,,,,,,,
