number,name,type,shape,direction
11,X0,input,line,left
12,X1,input,line,left
9,X2,input,line,left
10,X3,input,line,left
13,X4,input,line,left
14,X5,input,line,left
15,X6,input,line,left
16,X7,input,line,left
21,X8,input,line,left
22,X9,input,line,left
17,X10,input,line,left
1,Y0,input,line,left
2,Y1,input,line,left
3,Y2,input,line,left
4,Y3,input,line,left
5,Y4,input,line,left
6,Y5,input,line,left
11,Y6,input,line,left
12,Y7,input,line,left
9,Y8,input,line,left
10,Y9,input,line,left
13,Y10,input,line,left
14,Y11,input,line,left
15,Y12,input,line,left
16,Y13,input,line,left
21,Y14,input,line,left
22,Y15,input,line,left
