number,name,type,shape,direction
3,TCC0/WO0,bidirectional,line,left
11,TCC0/WO0,bidirectional,line,left
4,TCC0/WO1,bidirectional,line,left
12,TCC0/WO1,bidirectional,line,left
5,TCC0/WO2,bidirectional,line,left
7,TCC0/WO2,bidirectional,line,left
9,TCC0/WO2,bidirectional,line,left
19,TCC0/WO2,bidirectional,line,left
21,TCC0/WO2,bidirectional,line,left
6,TCC0/WO3,bidirectional,line,left
8,TCC0/WO3,bidirectional,line,left
10,TCC0/WO3,bidirectional,line,left
20,TCC0/WO3,bidirectional,line,left
22,TCC0/WO3,bidirectional,line,left
7,TCC0/WO4,bidirectional,line,left
15,TCC0/WO4,bidirectional,line,left
21,TCC0/WO4,bidirectional,line,left
8,TCC0/WO5,bidirectional,line,left
16,TCC0/WO5,bidirectional,line,left
13,TCC0/WO6,bidirectional,line,left
14,TCC0/WO7,bidirectional,line,left
