number,name,type,shape,direction
18,PA02,bidirectional,line,left
19,PA03,bidirectional,line,left
20,PA04,bidirectional,line,left
1,PA05,bidirectional,line,left
2,PA06,bidirectional,line,left
3,PA07,bidirectional,line,left
4,PA08,bidirectional,line,left
5,PA09,bidirectional,line,left
6,PA14,bidirectional,line,left
7,PA15,bidirectional,line,left
8,PA16,bidirectional,line,left
9,PA22,bidirectional,line,left
10,PA23,bidirectional,line,left
14,PA24,bidirectional,line,left
15,PA25,bidirectional,line,left
11,PA28,bidirectional,line,left
12,PA30,bidirectional,line,left
13,PA31,bidirectional,line,left
