number,name,type,shape,direction
6,WO0,bidirectional,line,left
20,WO0,bidirectional,line,left
1,WO1,bidirectional,line,left
7,WO1,bidirectional,line,left
2,WO2,bidirectional,line,left
4,WO2,bidirectional,line,left
12,WO2,bidirectional,line,left
14,WO2,bidirectional,line,left
3,WO3,bidirectional,line,left
5,WO3,bidirectional,line,left
13,WO3,bidirectional,line,left
15,WO3,bidirectional,line,left
4,WO4,bidirectional,line,left
9,WO4,bidirectional,line,left
14,WO4,bidirectional,line,left
5,WO5,bidirectional,line,left
10,WO5,bidirectional,line,left
8,WO6,bidirectional,line,left
