number,name,type,shape,direction,decoration
1,~,passive,line,left,female
2,~,passive,line,right,female
3,~,passive,line,left,female
4,~,passive,line,right,female
5,~,passive,line,left,female
6,~,passive,line,right,female
7,~,passive,line,left,female
8,~,passive,line,right,female
9,~,passive,line,left,female
10,~,passive,line,right,female
11,~,passive,line,left,female
12,~,passive,line,right,female
13,~,passive,line,left,female
14,~,passive,line,right,female
15,~,passive,line,left,female
16,~,passive,line,right,female
17,~,passive,line,left,female
18,~,passive,line,right,female
19,~,passive,line,left,female
20,~,passive,line,right,female
21,~,passive,line,left,female
22,~,passive,line,right,female
23,~,passive,line,left,female
24,~,passive,line,right,female
25,~,passive,line,left,female
26,~,passive,line,right,female
27,~,passive,line,left,female
28,~,passive,line,right,female
29,~,passive,line,left,female
30,~,passive,line,right,female
31,~,passive,line,left,female
32,~,passive,line,right,female
33,~,passive,line,left,female
34,~,passive,line,right,female
35,~,passive,line,left,female
36,~,passive,line,right,female
37,~,passive,line,left,female
38,~,passive,line,right,female
39,~,passive,line,left,female
40,~,passive,line,right,female
41,~,passive,line,left,female
42,~,passive,line,right,female
43,~,passive,line,left,female
44,~,passive,line,right,female
45,~,passive,line,left,female
46,~,passive,line,right,female
47,~,passive,line,left,female
48,~,passive,line,right,female
49,~,passive,line,left,female
50,~,passive,line,right,female
51,~,passive,line,left,female
52,~,passive,line,right,female
53,~,passive,line,left,female
54,~,passive,line,right,female
55,~,passive,line,left,female
56,~,passive,line,right,female
57,~,passive,line,left,female
58,~,passive,line,right,female
59,~,passive,line,left,female
60,~,passive,line,right,female
61,~,passive,line,left,female
62,~,passive,line,right,female
