number,name,type,shape,direction,decoration
1,~,passive,line,left,male
2,~,passive,line,right,male
3,~,passive,line,left,male
4,~,passive,line,right,male
5,~,passive,line,left,male
6,~,passive,line,right,male
7,~,passive,line,left,male
8,~,passive,line,right,male
9,~,passive,line,left,male
10,~,passive,line,right,male
11,~,passive,line,left,male
12,~,passive,line,right,male
13,~,passive,line,left,male
14,~,passive,line,right,male
15,~,passive,line,left,male
16,~,passive,line,right,male
17,~,passive,line,left,male
18,~,passive,line,right,male
19,~,passive,line,left,male
20,~,passive,line,right,male
21,~,passive,line,left,male
22,~,passive,line,right,male
23,~,passive,line,left,male
24,~,passive,line,right,male
25,~,passive,line,left,male
26,~,passive,line,right,male
27,~,passive,line,left,male
28,~,passive,line,right,male
29,~,passive,line,left,male
30,~,passive,line,right,male
31,~,passive,line,left,male
32,~,passive,line,right,male
33,~,passive,line,left,male
34,~,passive,line,right,male
35,~,passive,line,left,male
36,~,passive,line,right,male
37,~,passive,line,left,male
38,~,passive,line,right,male
39,~,passive,line,left,male
40,~,passive,line,right,male
41,~,passive,line,left,male
42,~,passive,line,right,male
43,~,passive,line,left,male
44,~,passive,line,right,male
45,~,passive,line,left,male
46,~,passive,line,right,male
47,~,passive,line,left,male
48,~,passive,line,right,male
49,~,passive,line,left,male
50,~,passive,line,right,male
51,~,passive,line,left,male
52,~,passive,line,right,male
53,~,passive,line,left,male
54,~,passive,line,right,male
55,~,passive,line,left,male
56,~,passive,line,right,male
57,~,passive,line,left,male
58,~,passive,line,right,male
59,~,passive,line,left,male
60,~,passive,line,right,male
61,~,passive,line,left,male
62,~,passive,line,right,male
63,~,passive,line,left,male
64,~,passive,line,right,male
