number,name,type,shape,direction,decoration
1,~,passive,line,left,female
2,~,passive,line,left,female
3,~,passive,line,left,female
4,~,passive,line,left,female
5,~,passive,line,left,female
6,~,passive,line,left,female
7,~,passive,line,left,female
8,~,passive,line,left,female
9,~,passive,line,left,female
10,~,passive,line,left,female
11,~,passive,line,left,female
12,~,passive,line,left,female
13,~,passive,line,left,female
14,~,passive,line,left,female
15,~,passive,line,left,female
16,~,passive,line,left,female
17,~,passive,line,left,female
18,~,passive,line,left,female
19,~,passive,line,left,female
20,~,passive,line,left,female
21,~,passive,line,left,female
22,~,passive,line,left,female
23,~,passive,line,left,female
24,~,passive,line,left,female
25,~,passive,line,left,female
26,~,passive,line,left,female
27,~,passive,line,left,female
