number,name,type,shape,direction,decoration
1,~,passive,line,left,male
2,~,passive,line,left,male
3,~,passive,line,left,male
4,~,passive,line,left,male
5,~,passive,line,left,male
6,~,passive,line,left,male
7,~,passive,line,left,male
8,~,passive,line,left,male
9,~,passive,line,left,male
10,~,passive,line,left,male
11,~,passive,line,left,male
12,~,passive,line,left,male
13,~,passive,line,left,male
14,~,passive,line,left,male
15,~,passive,line,left,male
16,~,passive,line,left,male
17,~,passive,line,left,male
18,~,passive,line,left,male
19,~,passive,line,left,male
20,~,passive,line,left,male
21,~,passive,line,left,male
22,~,passive,line,left,male
23,~,passive,line,left,male
24,~,passive,line,left,male
25,~,passive,line,left,male
26,~,passive,line,left,male
27,~,passive,line,left,male
