name;number;type;shape;direction;decoration
~;1;passive;line;left;rectangle
~;2;passive;line;left;rectangle
~;3;passive;line;left;rectangle
~;4;passive;line;left;rectangle
~;5;passive;line;left;rectangle
~;6;passive;line;left;rectangle
~;7;passive;line;left;rectangle
~;8;passive;line;left;rectangle
~;9;passive;line;left;rectangle
~;10;passive;line;left;rectangle
~;11;passive;line;left;rectangle
~;12;passive;line;left;rectangle
~;13;passive;line;left;rectangle
~;14;passive;line;left;rectangle
~;15;passive;line;left;rectangle
~;16;passive;line;left;rectangle
~;17;passive;line;left;rectangle
~;18;passive;line;left;rectangle
~;19;passive;line;left;rectangle
~;20;passive;line;left;rectangle
~;21;passive;line;left;rectangle
~;22;passive;line;left;rectangle
~;23;passive;line;left;rectangle
~;24;passive;line;left;rectangle
~;25;passive;line;left;rectangle
~;26;passive;line;left;rectangle
~;27;passive;line;left;rectangle
~;28;passive;line;left;rectangle
~;29;passive;line;left;rectangle
~;30;passive;line;left;rectangle
