name,number,type,shape,direction,decoration
~,1,passive,line,left,rectangle
~,2,passive,line,right,rectangle
~,3,passive,line,left,rectangle
~,4,passive,line,right,rectangle
~,5,passive,line,left,rectangle
~,6,passive,line,right,rectangle
~,7,passive,line,left,rectangle
~,8,passive,line,right,rectangle
~,9,passive,line,left,rectangle
~,10,passive,line,right,rectangle
~,11,passive,line,left,rectangle
~,12,passive,line,right,rectangle
~,13,passive,line,left,rectangle
~,14,passive,line,right,rectangle
~,15,passive,line,left,rectangle
~,16,passive,line,right,rectangle
~,17,passive,line,left,rectangle
~,18,passive,line,right,rectangle
~,19,passive,line,left,rectangle
~,20,passive,line,right,rectangle
~,21,passive,line,left,rectangle
~,22,passive,line,right,rectangle
~,23,passive,line,left,rectangle
~,24,passive,line,right,rectangle
~,25,passive,line,left,rectangle
~,26,passive,line,right,rectangle
~,27,passive,line,left,rectangle
~,28,passive,line,right,rectangle
~,29,passive,line,left,rectangle
~,30,passive,line,right,rectangle
~,31,passive,line,left,rectangle
~,32,passive,line,right,rectangle
~,33,passive,line,left,rectangle
~,34,passive,line,right,rectangle
~,35,passive,line,left,rectangle
~,36,passive,line,right,rectangle
