name,number,type,shape,direction
C1+,1,bidirectional,line,left
C1-,3,bidirectional,line,left
C2+,4,bidirectional,line,left
C2-,5,bidirectional,line,left
-,,space,line,left
T1IN,11,input,line,left
T2IN,10,input,line,left
R1OUT12,12,output,line,left
R2OUT,9,output,line,left
V+,2,bidirectional,line,right
-,,space,line,right
V-,6,bidirectional,line,right
-,,space,line,right
-,,space,line,right
T1OUT,14,output,line,right
T2OUT,7,output,line,right
R1IN,13,input,line,right
R2IN,8,input,line,right
VCC,16,powerInput,line,up
GND,15,powerInput,line,down
