number,name,type,shape,direction
35,LETIM0_OUT0,input,line,left
23,LETIM0_OUT0,input,line,left
50,LETIM0_OUT0,input,line,left
36,LETIM0_OUT1,input,line,left
51,LETIM0_OUT1,input,line,left
10,TIM0_CC0,input,line,left
58,TIM0_CC0,input,line,left
30,TIM0_CC0,input,line,left
50,TIM0_CC0,input,line,left
11,TIM0_CC1,input,line,left
59,TIM0_CC1,input,line,left
31,TIM0_CC1,input,line,left
51,TIM0_CC1,input,line,left
60,TIM0_CC2,input,line,left
32,TIM0_CC2,input,line,left
52,TIM0_CC2,input,line,left
47,TIM0_CDTI0,input,line,left
53,TIM0_CDTI0,input,line,left
48,TIM0_CDTI1,input,line,left
54,TIM0_CDTI1,input,line,left
49,TIM0_CDTI2,input,line,left
56,TIM0_CDTI2,input,line,left
47,TIM1_CC0,input,line,left
17,TIM1_CC0,input,line,left
35,TIM1_CC0,input,line,left
48,TIM1_CC1,input,line,left
18,TIM1_CC1,input,line,left
36,TIM1_CC1,input,line,left
49,TIM1_CC2,input,line,left
23,TIM1_CC2,input,line,left
47,TIM1_CC2,input,line,left
19,TIM2_CC0,input,line,left
20,TIM2_CC1,input,line,left
21,TIM2_CC2,input,line,left
42,TIM3_CC0,input,line,left
43,TIM3_CC1,input,line,left
44,TIM3_CC2,input,line,left
