number,name,type,shape,direction
34,LEU0_RX,input,line,left
26,LEU0_RX,input,line,left
51,LEU0_RX,input,line,left
10,LEU0_RX,input,line,left
33,LEU0_TX,input,line,left
25,LEU0_TX,input,line,left
50,LEU0_TX,input,line,left
52,LEU0_TX,input,line,left
39,LEU1_RX,input,line,left
38,LEU1_TX,input,line,left
43,U0_RX,input,line,left
49,U0_RX,input,line,left
42,U0_TX,input,line,left
48,U0_TX,input,line,left
47,U1_RX,input,line,left
45,U1_RX,input,line,left
46,U1_TX,input,line,left
44,U1_TX,input,line,left
