STM32F030x4/6/8/C Pinouts and pin descriptions,,,,,,,,,
Table 11. STM32F030x4/6/8/C pin definitions,,,,,,,,,
Pin number,,,,Pin name (function after reset),Pin type,I/O structure,Notes,Pin functions,
LQFP64,LQFP48,LQFP32,TSSOP20,,,,,Alternate functions,Additional functions
1,1,-,-,VDD,S,,,Complementary power supply,
2,2,-,-,PC13,I/O,TC,-1,-,"RTC_TAMP1, RTC_TS, RTC_OUT, WKUP2"
3,3,-,-,PC14-OSC32_IN (PC14),I/O,TC,-1,-,OSC32_IN
4,4,-,-,PC15-OSC32_OUT (PC15),I/O,TC,-1,-,OSC32_OUT
5,5,2,2,PF0-OSC_IN (PF0),I/O,FT,,I2C1_SDA(5),OSC_IN
6,6,3,3,PF1-OSC_OUT (PF1),I/O,FT,,I2C1_SCL(5),OSC_OUT
7,7,4,4,NRST,I/O,RST,,Device reset input / internal reset output (active low),
8,-,-,-,PC0,I/O,TTa,,"EVENTOUT, (5) USART6_TX , USART7_TX (5)",ADC_IN10
9,-,-,-,PC1,I/O,TTa,,"EVENTOUT, USART6_RX(5), USART7_RX (5)",ADC_IN11
10,-,-,-,PC2,I/O,TTa,,"SPI2_MISO (5) , EVENTOUT",ADC_IN12
11,-,-,-,PC3,I/O,TTa,,"(5) SPI2_MOSI , EVENTOUT",ADC_IN13
12,8,-,-,VSSA,S,,,Analog ground,
13,9,5,5,VDDA,S,,,Analog power supply,
14,10,6,6,PA0,I/O,TTa,,"(2), USART1_CTS USART2_CTS(3)(5) , USART4_TX(5)","ADC_IN0, RTC_TAMP2, WKUP1"
15,11,7,7,PA1,I/O,TTa,,"(2) USART1_RTS , USART2_RTS (3)(5) , EVENTOUT, USART4_RX (5)",ADC_IN1
16,12,8,8,PA2,I/O,TTa,,"(2), USART1_TX USART2_TX (3)(5) , TIM15_CH1(3)(5)",ADC_IN2
17,13,9,9,PA3,I/O,TTa,,"(2) USART1_RX , USART2_RX (3)(5) , TIM15_CH2 (3)(5)",ADC_IN3
18 (4),-,-,-,PF4,I/O,FT,-4,EVENTOUT,-
(5) 18,-,-,-,VSS,S,,-5,Ground,
(4) 19,-,-,-,PF5,I/O,FT,-4,EVENTOUT,-
(5) 19,-,-,-,VDD,,,-5,Complementary power supply,
20,14,10,10,PA4,I/O,TTa,,"SPI1_NSS, USART1_CK (2) USART2_CK(3)(5), TIM14_CH1, USART6_TX(5)",ADC_IN4
21,15,11,11,PA5,I/O,TTa,,"SPI1_SCK, USART6_RX (5)",ADC_IN5
22,16,12,12,PA6,I/O,TTa,,"SPI1_MISO, TIM3_CH1, TIM1_BKIN, TIM16_CH1, EVENTOUT USART3_CTS (5)",ADC_IN6
23,17,13,13,PA7,I/O,TTa,,"SPI1_MOSI, TIM3_CH2, TIM14_CH1, TIM1_CH1N, TIM17_CH1, EVENTOUT",ADC_IN7
24,-,-,-,PC4,I/O,TTa,,"EVENTOUT, USART3_TX (5)",ADC_IN14
25,-,-,-,PC5,I/O,TTa,,USART3_RX (5),ADC_IN15
26,18,14,-,PB0,I/O,TTa,,"TIM3_CH3, TIM1_CH2N, EVENTOUT, USART3_CK (5)",ADC_IN8
27,19,15,14,PB1,I/O,TTa,,"TIM3_CH4, TIM14_CH1, TIM1_CH3N, USART3_RTS (5)",ADC_IN9
28,20,-,-,PB2,I/O,FT,-6,-,-
29,21,-,-,PB10,I/O,FT,,"(5), SPI2_SCK (2) I2C1_SCL , I2C2_SCL(3)(5), USART3_TX (5)",-
30,22,-,-,PB11,I/O,FT,,"(2), I2C1_SDA I2C2_SDA(3)(5) , EVENTOUT, USART3_RX (5)",-
31,23,16,-,VSS,S,,,Ground,
32,24,17,16,VDD,S,,,Digital power supply,
33,25,-,-,PB12,I/O,FT,,"(2) SPI1_NSS , SPI2_NSS (3)(5) , TIM1_BKIN, EVENTOUT, USART3_CK(5)",-
34,26,-,-,PB13,I/O,FT,,"(2) SPI1_SCK , SPI2_SCK (3)(5) , I2C2_SDA, TIM1_CH1N, USART3_CTS(5)",-
35,27,-,-,PB14,I/O,FT,,"(2) SPI1_MISO , SPI2_MISO (3)(5) , (5) I2C2_SDA , TIM1_CH2N, TIM15_CH1(3)(5) , USART3_RTS (5)",-
36,28,-,-,PB15,I/O,FT,,"(2), SPI1_MOSI SPI2_MOSI (3)(5) , TIM1_CH3N, TIM15_CH1N (3)(5) , TIM15_CH2 (3)(5)",RTC_REFIN
37,-,-,-,PC6,I/O,FT,,TIM3_CH1,-
38,-,-,-,PC7,I/O,FT,,TIM3_CH2,-
39,-,-,-,PC8,I/O,FT,,TIM3_CH3,-
40,-,-,-,PC9,I/O,FT,,TIM3_CH4,-
41,29,18,-,PA8,I/O,FT,,"USART1_CK, TIM1_CH1, EVENTOUT, MCO",-
42,30,19,17,PA9,I/O,FT,,"USART1_TX, TIM1_CH2, (3)(5) TIM15_BKIN I2C1_SCL(2)(5)",-
43,31,20,18,PA10,I/O,FT,,"USART1_RX, TIM1_CH3, TIM17_BKIN (2)(5) I2C1_SDA",-
44,32,21,-,PA11,I/O,FT,,"USART1_CTS, TIM1_CH4, EVENTOUT, I2C2_SCL(5)",-
45,33,22,-,PA12,I/O,FT,,"USART1_RTS, TIM1_ETR, EVENTOUT, (5) I2C2_SDA",-
46,34,23,19,PA13 (SWDIO),I/O,FT,-7,"IR_OUT, SWDIO",-
47(4),35(4),-,-,PF6,I/O,FT,-4,"(2) I2C1_SCL , I2C2_SCL(3)",-
(5) 47,(5) 35,-,-,VSS,S,,-5,Ground,
48(4),36(4),-,-,PF7,I/O,FT,-4,"(2) I2C1_SDA , I2C2_SDA(3)",-
48 (5),36 (5),-,-,VDD,S,,-5,Complementary power supply,
49,37,24,20,PA14 (SWCLK),I/O,FT,-7,"(2) USART1_TX , USART2_TX (3)(5) , SWCLK",-
50,38,25,-,PA15,I/O,FT,,"SPI1_NSS, (2), USART1_RX USART2_RX (3)(5) , USART4_RTS , (5) EVENTOUT",-
51,-,-,-,PC10,I/O,FT,,"(5) USART3_TX , USART4_TX (5)",-
52,-,-,-,PC11,I/O,FT,,"(5) USART3_RX , USART4_RX (5)",-
53,-,-,-,PC12,I/O,FT,,"(5) USART3_CK , (5) USART4_CK , USART5_TX(5)",-
54,-,-,-,PD2,I/O,FT,,"TIM3_ETR, USART3_RTS ,(5) USART5_RX (5)",-
55,39,26,-,PB3,I/O,FT,,"SPI1_SCK, EVENTOUT, USART5_TX(5)",-
56,40,27,-,PB4,I/O,FT,,"SPI1_MISO, TIM3_CH1, EVENTOUT, (5), TIM17_BKIN USART5_RX (5)",-
57,41,28,-,PB5,I/O,FT,,"SPI1_MOSI, I2C1_SMBA, TIM16_BKIN, TIM3_CH2, USART5_CK_RTS (5)",-
58,42,29,-,PB6,I/O,FTf,,"I2C1_SCL, USART1_TX, TIM16_CH1N",-
