number,name,type,shape,direction
1,M0PWM0,output,line,left
1,PB6,bidirectional,line,left
1,SSI2Rx,input,line,left
1,T0CCP0,bidirectional,line,left
2,VDDA,powerInput,line,left
3,GNDA,powerInput,line,left
4,M0PWM1,output,line,left
4,PB7,bidirectional,line,left
4,SSI2Tx,output,line,left
4,T0CCP1,bidirectional,line,left
5,IDX0,input,line,left
5,M1FAULT0,input,line,left
5,PF4,bidirectional,line,left
5,T2CCP0,bidirectional,line,left
5,USB0EPEN,output,line,left
6,AIN0,input,line,left
6,PE3,bidirectional,line,left
7,AIN1,input,line,left
7,PE2,bidirectional,line,left
8,AIN2,input,line,left
8,PE1,bidirectional,line,left
8,U7Tx,output,line,left
9,AIN3,input,line,left
9,PE0,bidirectional,line,left
9,U7Rx,input,line,left
10,NMI,input,line,left
10,PD7,bidirectional,line,left
10,PhB0,input,line,left
10,U2Tx,output,line,left
10,WT5CCP1,bidirectional,line,left
11,VDD,powerInput,line,left
12,GND,powerInput,line,left
13,C0-,input,line,left
13,PC7,bidirectional,line,left
13,U3Tx,output,line,left
13,USB0PFLT,input,line,left
13,WT1CCP1,bidirectional,line,left
14,C0+,input,line,left
14,PC6,bidirectional,line,left
14,PhB1,input,line,left
14,U3Rx,input,line,left
14,USB0EPEN,output,line,left
14,WT1CCP0,bidirectional,line,left
15,C1+,input,line,left
15,M0PWM7,output,line,left
15,PC5,bidirectional,line,left
15,PhA1,input,line,left
15,U1CTS,input,line,left
15,U1Tx,output,line,left
15,U4Tx,output,line,left
15,WT0CCP1,bidirectional,line,left
16,C1-,input,line,left
16,IDX1,input,line,left
16,M0PWM6,output,line,left
16,PC4,bidirectional,line,left
16,U1RTS,output,line,left
16,U1Rx,input,line,left
16,U4Rx,input,line,left
16,WT0CCP0,bidirectional,line,left
17,CAN1Rx,input,line,left
17,PA0,bidirectional,line,left
17,U0Rx,input,line,left
18,CAN1Tx,output,line,left
18,PA1,bidirectional,line,left
18,U0Tx,output,line,left
19,PA2,bidirectional,line,left
19,SSI0Clk,bidirectional,line,left
20,PA3,bidirectional,line,left
20,SSI0Fss,bidirectional,line,left
21,PA4,bidirectional,line,left
21,SSI0Rx,input,line,left
22,PA5,bidirectional,line,left
22,SSI0Tx,output,line,left
23,I2C1SCL,openCollector,line,left
23,M1PWM2,output,line,left
23,PA6,bidirectional,line,left
24,I2C1SDA,openCollector,line,left
24,M1PWM3,output,line,left
24,PA7,bidirectional,line,left
25,VDDC,powerInput,line,left
26,VDD,powerInput,line,left
27,GND,powerInput,line,left
28,C0o,output,line,left
28,CAN0Rx,input,line,left
28,M1PWM4,output,line,left
28,NMI,input,line,left
28,PF0,bidirectional,line,left
28,PhA0,input,line,left
28,SSI1Rx,input,line,left
28,T0CCP0,bidirectional,line,left
28,U1RTS,output,line,left
29,C1o,output,line,left
29,M1PWM5,output,line,left
29,PF1,bidirectional,line,left
29,PhB0,input,line,left
29,SSI1Tx,output,line,left
29,T0CCP1,bidirectional,line,left
29,TRD1,output,line,left
29,U1CTS,input,line,left
30,M0FAULT0,input,line,left
30,M1PWM6,output,line,left
30,PF2,bidirectional,line,left
30,SSI1Clk,bidirectional,line,left
30,T1CCP0,bidirectional,line,left
30,TRD0,output,line,left
31,CAN0Tx,output,line,left
31,M1PWM7,output,line,left
31,PF3,bidirectional,line,left
31,SSI1Fss,bidirectional,line,left
31,T1CCP1,bidirectional,line,left
31,TRCLK,output,line,left
32,WAKE,input,line,left
33,HIB,output,line,left
34,XOSC0,input,line,left
35,GNDX,powerInput,line,left
36,XOSC1,output,line,left
37,VBAT,powerInput,line,left
38,RST,input,line,left
39,GND,powerInput,line,left
40,OSC0,input,line,left
41,OSC1,output,line,left
42,VDD,powerInput,line,left
43,PD4,bidirectional,line,left
43,U6Rx,input,line,left
43,USB0DM,bidirectional,line,left
43,WT4CCP0,bidirectional,line,left
44,PD5,bidirectional,line,left
44,U6Tx,output,line,left
44,USB0DP,bidirectional,line,left
44,WT4CCP1,bidirectional,line,left
45,PB0,bidirectional,line,left
45,T2CCP0,bidirectional,line,left
45,U1Rx,input,line,left
45,USB0ID,input,line,left
46,PB1,bidirectional,line,left
46,T2CCP1,bidirectional,line,left
46,U1Tx,output,line,left
46,USB0VBUS,bidirectional,line,left
47,I2C0SCL,openCollector,line,left
47,PB2,bidirectional,line,left
47,T3CCP0,bidirectional,line,left
48,I2C0SDA,openCollector,line,left
48,PB3,bidirectional,line,left
48,T3CCP1,bidirectional,line,left
49,PC3,bidirectional,line,left
49,SWO,output,line,left
49,T5CCP1,bidirectional,line,left
