name,reference,value,tolerance,power,footprint
chip_resistor_0201_E24_5%,R,1R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R1,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R3,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R5,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R6,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,1R8,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2R2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2R4,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,2R7,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3R3,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3R6,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,3R9,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,4R3,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,4R7,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,5R1,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,5R6,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,6R2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,6R8,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,7R5,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,8R2,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,9R1,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,10R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,11R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,12R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,13R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,15R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,16R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,18R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,20R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,22R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,24R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,27R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,30R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,33R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,36R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,39R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,43R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,47R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,51R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,56R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,62R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,68R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,75R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,82R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,91R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,100R,5%,0.05W,chip_resistor_0201
chip_resistor_0201_E24_5%,R,110R,5%,0.05W,chip_resistor_0201
